Image Path,Lacunarity
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_15_3.png,tensor([[[0.0070]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ICE-HV_5_11_0.png,tensor([[[0.0044]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ICE-HV_5_11_1.png,tensor([[[0.0066]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ICE-HV_5_11_2.png,tensor([[[0.0039]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ICE-HV_5_11_3.png,tensor([[[0.0062]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ETD-HV_10_0.png,tensor([[[0.0037]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ETD-HV_10_1.png,tensor([[[0.0082]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ETD-HV_10_2.png,tensor([[[0.0063]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ETD-HV_10_3.png,tensor([[[0.0062]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_10_0.png,tensor([[[0.0037]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_10_1.png,tensor([[[0.0082]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_10_2.png,tensor([[[0.0063]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_10_3.png,tensor([[[0.0062]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_8_0.png,tensor([[[0.0071]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_8_1.png,tensor([[[0.0073]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_8_2.png,tensor([[[0.0075]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_8_3.png,tensor([[[0.0067]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_12000x_ETD_HV_s5.0_13.6WD_010_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_12000x_ETD_HV_s5.0_13.6WD_010_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_12000x_ETD_HV_s5.0_13.6WD_010_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_12000x_ETD_HV_s5.0_13.6WD_010_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_011_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_011_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_011_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_011_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_012_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_012_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_012_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_012_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_002_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_002_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_002_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_002_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_003_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_003_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_003_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_003_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_004_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_004_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_004_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_004_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_005_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_005_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_005_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_005_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_006_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_006_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_006_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_006_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_007_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_007_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_007_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_007_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_008_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_008_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_008_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_008_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_009_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_009_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_009_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_009_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_010_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_010_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_010_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_010_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_011_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_011_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_011_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_011_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_Bottom of Insert_DC_02052021_5KV_1200_showing activity_ETD-HV_5_7_0.png,tensor([[[0.0095]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_Bottom of Insert_DC_02052021_5KV_1200_showing activity_ETD-HV_5_7_1.png,tensor([[[0.0092]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_Bottom of Insert_DC_02052021_5KV_1200_showing activity_ETD-HV_5_7_2.png,tensor([[[0.0084]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_Bottom of Insert_DC_02052021_5KV_1200_showing activity_ETD-HV_5_7_3.png,tensor([[[0.0082]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_DCs_5KV_1200x_ETD_HV_s5.0_13.4WD_024_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_DCs_5KV_1200x_ETD_HV_s5.0_13.4WD_024_1.png,tensor([[[0.]]])
